,doi,ids,n_MOFs,MOFs_reported,n_mofs,MOFs_extracted,reported,Category
0,10.1039/c2jm15604k,[0],1,"{'MOF1': {'metal': 'Zn', 'linker': '(1R,3S)-1,2,2-trimethyl-3-(pyridin-4-ylcarbamoyl)cyclopentanecarboxylic acid', 'solvents': ['methanol', 'water'], 'reaction_time_hours': 48.0, 'temperature': 100.0, 'temperature_unit': 'C', 'successful': 1.0, 'salt': 'Zn(NO3)2·6H2O'}}",1,"{'MOF1': {'name': 'MOF1', 'metal_node': 'Zn2+', 'metal': 'Zn', 'linker': '(1R,3S)-1,2,2-trimethyl-3-(pyridin-4-ylcarbamoyl)cyclopentanecarboxylic acid', 'solvents': ['Methanol', 'Water'], 'reaction_time': '2', 'reaction_time_unit': 'days', 'reaction_time_hours': '48', 'temperature': '100', 'temperature_unit': 'C', 'successful': '1'}}",10.1039/c2jm15604k,chiralty
1,10.1016/j.inoche.2007.01.001,[1],1,"{'MOF1': {'metal': 'Cd', 'linker': '(1R, 3S)-1,2,2-trimethyl-3-(pyridin-3-ylmethylcarbamoyl)cyclopentanecarboxylic acid', 'solvents': ['water'], 'reaction_time_hours': 30.0, 'temperature': 100.0, 'temperature_unit': 'C', 'successful': 1.0, 'salt': 'CdSO4·8/3H2O'}}",1,"{'MOF1': {'name': '[Cd(3-MPCA)2 Æ H2O] Æ 5.5H2O', 'metal_node': 'Cadmium(II)', 'metal': 'Cadmium', 'linker': '3-MPCA', 'solvents': ['Water', 'Methanol'], 'reaction_time': '30', 'reaction_time_unit': 'h', 'reaction_time_hours': '30', 'temperature': '100', 'temperature_unit': 'C', 'successful': '1'}, 'MOF2': {'name': '[Cu(3-MPCA)2 Æ H2O] Æ 4H2O', 'metal_node': 'Copper(II)', 'metal': 'Copper', 'linker': '3-MPCA', 'solvents': ['Water', 'Ethanol'], 'reaction_time': '2', 'reaction_time_unit': 'days', 'reaction_time_hours': '48', 'temperature': '100', 'temperature_unit': 'C', 'successful': '1'}}",10.1016/j.inoche.2007.01.001,chiralty
2,10.1021/cg101135r,"[2, 3]",2,"{'MOF1': {'metal': 'Zn', 'linker': '1,2,2-trimethyl-3-(pyridin-4-ylcarbamoyl)cyclopentanecarboxylic acid', 'solvents': ['DMF', 'water', 'ethanol'], 'reaction_time_hours': 48.0, 'temperature': 120.0, 'temperature_unit': 'C', 'successful': 1.0, 'salt': 'Zn(NO3)2·6H2O'}, 'MOF2': {'metal': 'Cd', 'linker': '1,2,2-trimethyl-3-(pyridin-4-ylcarbamoyl)cyclopentanecarboxylic acid', 'solvents': ['DMF', 'water', 'ethanol'], 'reaction_time_hours': 48.0, 'temperature': 120.0, 'temperature_unit': 'C', 'successful': 1.0, 'salt': 'Cd(NO3)2·4H2O'}}",2,"{'MOF1': {'name': 'ZnL2(H2O)2', 'metal_node': 'Zinc Node', 'metal': 'Zn', 'linker': '1,2,2-trimethyl-3-(pyridin-4-ylcarbamoyl)cyclopentanecarboxylic acid', 'solvents': ['Ethanol', 'Water', 'Dimethylformamide'], 'reaction_time': '2', 'reaction_time_unit': 'days', 'reaction_time_hours': '48', 'temperature': '120', 'temperature_unit': 'C', 'successful': '1'}, 'MOF2': {'name': 'CdL2(H2O)2', 'metal_node': 'Cadmium Node', 'metal': 'Cd', 'linker': '1,2,2-trimethyl-3-(pyridin-4-ylcarbamoyl)cyclopentanecarboxylic acid', 'solvents': ['Ethanol', 'Water', 'Dimethylformamide'], 'reaction_time': '2', 'reaction_time_unit': 'days', 'reaction_time_hours': '48', 'temperature': '120', 'temperature_unit': 'C', 'successful': '1'}}",10.1021/cg101135r,chiralty
3,10.1021/ic502861k,[4],1,"{'MOF1': {'metal': 'Mn', 'linker': '(1R,3S)-1,2,2-trimethylcyclopentane-1,3-dicarboxylic acid', 'solvents': ['DMF', 'ethanol'], 'reaction_time_hours': 48.0, 'temperature': 100.0, 'temperature_unit': 'C', 'successful': 1.0, 'salt': 'Mn(NO3)2·6H2O'}}",1,"{'MOF1': {'name': '(Me2NH2)2[Mn4O(D-cam)4]*(H2O)5', 'metal_node': 'Manganese Cluster Mn4O', 'metal': 'Mn', 'linker': 'D-camphoric acid', 'solvents': ['Dimethylformamide', 'Ethanol'], 'reaction_time': '2', 'reaction_time_unit': 'days', 'reaction_time_hours': '48', 'temperature': '100', 'temperature_unit': 'C', 'successful': '1'}}",10.1021/ic502861k,chiralty
4,10.1016/j.micromeso.2008.06.040,"[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",14,"{'MOF1': {'metal': 'Zn', 'linker': 'benzene-1,4-dicarboxylic acid', 'solvents': ['DEF'], 'reaction_time_hours': 48.0, 'temperature': 110.0, 'temperature_unit': 'C', 'successful': 1.0, 'salt': 'Zn(NO3)2·6H2O'}, 'MOF2': {'metal': 'Zn', 'linker': 'benzene-1,4-dicarboxylic acid', 'solvents': ['DEF', 'mesitylene'], 'reaction_time_hours': 48.0, 'temperature': 110.0, 'temperature_unit': 'C', 'successful': 1.0, 'salt': 'Zn(NO3)2·6H2O'}, 'MOF3': {'metal': 'Zn', 'linker': 'benzene-1,4-dicarboxylic acid', 'solvents': ['DEF', 'mesitylene'], 'reaction_time_hours': 48.0, 'temperature': 110.0, 'temperature_unit': 'C', 'successful': 0.3, 'salt': 'Zn(NO3)2·6H2O'}, 'MOF4': {'metal': 'Zn', 'linker': 'benzene-1,4-dicarboxylic acid', 'solvents': ['DEF', 'mesitylene'], 'reaction_time_hours': 48.0, 'temperature': 110.0, 'temperature_unit': 'C', 'successful': 0.0, 'salt': 'Zn(NO3)2·6H2O'}, 'MOF5': {'metal': 'Zn', 'linker': 'benzene-1,4-dicarboxylic acid', 'solvents': ['DEF', 'mesitylene'], 'reaction_time_hours': 48.0, 'temperature': 110.0, 'temperature_unit': 'C', 'successful': 0.0, 'salt': 'Zn(NO3)2·6H2O'}, 'MOF6': {'metal': 'Zn', 'linker': 'benzene-1,4-dicarboxylic acid', 'solvents': ['DEF', 'toluene'], 'reaction_time_hours': 48.0, 'temperature': 110.0, 'temperature_unit': 'C', 'successful': 0.0, 'salt': 'Zn(NO3)2·6H2O'}, 'MOF7': {'metal': 'Zn', 'linker': 'benzene-1,4-dicarboxylic acid', 'solvents': ['DEF', 'chlorobenzene'], 'reaction_time_hours': 48.0, 'temperature': 110.0, 'temperature_unit': 'C', 'successful': 0.0, 'salt': 'Zn(NO3)2·6H2O'}, 'MOF8': {'metal': 'Zn', 'linker': 'benzene-1,4-dicarboxylic acid', 'solvents': ['DEF'], 'reaction_time_hours': 48.0, 'temperature': 110.0, 'temperature_unit': 'C', 'successful': 0.4, 'salt': 'ZnO'}, 'MOF9': {'metal': 'Zn', 'linker': 'benzene-1,4-dicarboxylic acid', 'solvents': ['DEF', 'mesitylene'], 'reaction_time_hours': 48.0, 'temperature': 110.0, 'temperature_unit': 'C', 'successful': 0.4, 'salt': 'ZnO'}, 'MOF10': {'metal': 'Zn', 'linker': 'benzene-1,4-dicarboxylic acid', 'solvents': ['DEF', 'mesitylene'], 'reaction_time_hours': 48.0, 'temperature': 110.0, 'temperature_unit': 'C', 'successful': 0.4, 'salt': 'ZnO'}, 'MOF11': {'metal': 'Zn', 'linker': 'benzene-1,4-dicarboxylic acid', 'solvents': ['DEF', 'mesitylene'], 'reaction_time_hours': 48.0, 'temperature': 110.0, 'temperature_unit': 'C', 'successful': 0.4, 'salt': 'ZnO'}, 'MOF12': {'metal': 'Zn', 'linker': 'benzene-1,4-dicarboxylic acid', 'solvents': ['DEF', 'mesitylene'], 'reaction_time_hours': 48.0, 'temperature': 110.0, 'temperature_unit': 'C', 'successful': 0.3, 'salt': 'ZnO'}, 'MOF13': {'metal': 'Zn', 'linker': 'benzene-1,4-dicarboxylic acid', 'solvents': ['DEF', 'toluene'], 'reaction_time_hours': 48.0, 'temperature': 110.0, 'temperature_unit': 'C', 'successful': 0.4, 'salt': 'ZnO'}, 'MOF14': {'metal': 'Zn', 'linker': 'benzene-1,4-dicarboxylic acid', 'solvents': ['DEF', 'chlorobenzene'], 'reaction_time_hours': 48.0, 'temperature': 110.0, 'temperature_unit': 'C', 'successful': 0.4, 'salt': 'ZnO'}}",14,"{'MOF1': {'name': 'MOF-5', 'metal_node': 'Zinc Oxide', 'metal': 'Zinc', 'linker': '1,4-benzenedicarboxylic acid', 'solvents': [""N,N'-diethylformamide""], 'reaction_time': '48', 'reaction_time_unit': 'hours', 'reaction_time_hours': '48', 'temperature': '110', 'temperature_unit': 'C', 'successful': '1'}, 'MOF2': {'name': 'HKUST-1', 'metal_node': 'Copper Nitrate', 'metal': 'Copper', 'linker': '1,3,5-benzenetricarboxylic acid', 'solvents': ['Ethanol', 'Water'], 'reaction_time': '20', 'reaction_time_unit': 'hours', 'reaction_time_hours': '20', 'temperature': '150', 'temperature_unit': 'C', 'successful': '1'}}",10.1016/j.micromeso.2008.06.040,optimization
5,10.1039/c0jm03563g,"[19, 20, 21, 22, 23, 24]",6,"{'MOF1': {'metal': 'Fe', 'linker': '(2E)-but-2-enedioic acid', 'solvents': ['DMF'], 'reaction_time_hours': 24.0, 'temperature': 100.0, 'temperature_unit': 'C', 'successful': 1.0, 'salt': 'FeCl3·6H2O'}, 'MOF2': {'metal': 'Fe', 'linker': '(2E)-but-2-enedioic acid', 'solvents': ['water'], 'reaction_time_hours': 24.0, 'temperature': 100.0, 'temperature_unit': 'C', 'successful': 1.0, 'salt': 'FeCl3·6H2O'}, 'MOF3': {'metal': 'Fe', 'linker': '(2E)-but-2-enedioic acid', 'solvents': ['methanol'], 'reaction_time_hours': 24.0, 'temperature': 100.0, 'temperature_unit': 'C', 'successful': 0.0, 'salt': 'FeCl3·6H2O'}, 'MOF4': {'metal': 'Fe', 'linker': '(2E)-but-2-enedioic acid', 'solvents': ['DMF'], 'reaction_time_hours': 24.0, 'temperature': 100.0, 'temperature_unit': 'C', 'successful': 1.0, 'salt': 'FeCl3·6H2O'}, 'MOF5': {'metal': 'Fe', 'linker': '(2E)-but-2-enedioic acid', 'solvents': ['water'], 'reaction_time_hours': 24.0, 'temperature': 100.0, 'temperature_unit': 'C', 'successful': 0.4, 'salt': 'FeCl3·6H2O'}, 'MOF6': {'metal': 'Fe', 'linker': '(2E)-but-2-enedioic acid', 'solvents': ['methanol'], 'reaction_time_hours': 24.0, 'temperature': 100.0, 'temperature_unit': 'C', 'successful': 0.4, 'salt': 'FeCl3·6H2O'}}",6,"{'MOF1': {'name': 'MIL-88A', 'metal_node': 'Iron(III) octahedra', 'metal': 'Iron', 'linker': 'Fumaric acid', 'solvents': ['Water', 'Dimethylformamide', 'Methanol', 'Ethanol'], 'reaction_time': '15 min to 24 h', 'reaction_time_unit': 'min/h', 'reaction_time_hours': '0.25 to 24', 'temperature': '0 to 150', 'temperature_unit': 'C', 'successful': '1'}}",10.1039/c0jm03563g,optimization
6,10.5935/0100-4042.20160068,"[25, 26]",2,"{'MOF1': {'metal': 'Ni', 'linker': 'benzene-1,3,5-tricarboxylic acid', 'solvents': ['DMF', 'water'], 'reaction_time_hours': 48.0, 'temperature': 160.0, 'temperature_unit': 'C', 'successful': 0.8, 'salt': 'Ni(NO3)2·6H2O'}, 'MOF2': {'metal': 'Ni', 'linker': 'benzene-1,3,5-tricarboxylic acid', 'solvents': ['ethanol', 'water'], 'reaction_time_hours': 48.0, 'temperature': 160.0, 'temperature_unit': 'C', 'successful': 1.0, 'salt': 'Ni(NO3)2·6H2O'}}",2,"{'MOF1': {'name': 'Ni-BTCDMF', 'metal_node': 'Nickel Nitrate Hexahydrate', 'metal': 'Nickel', 'linker': '1,3,5-benzene tricarboxylate', 'solvents': ['N,N-Dimethylformamide'], 'reaction_time': '48', 'reaction_time_unit': 'hours', 'reaction_time_hours': '48', 'temperature': '160', 'temperature_unit': 'C', 'successful': '1'}, 'MOF2': {'name': 'Ni-BTCEtOH', 'metal_node': 'Nickel Nitrate Hexahydrate', 'metal': 'Nickel', 'linker': '1,3,5-benzene tricarboxylate', 'solvents': ['Ethanol'], 'reaction_time': '48', 'reaction_time_unit': 'hours', 'reaction_time_hours': '48', 'temperature': '160', 'temperature_unit': 'C', 'successful': '1'}, 'MOF3': {'name': 'Ni-BTCNH4OH', 'metal_node': 'Nickel Nitrate Hexahydrate', 'metal': 'Nickel', 'linker': '1,3,5-benzene tricarboxylate', 'solvents': ['N,N-Dimethylformamide', 'Water'], 'reaction_time': '48', 'reaction_time_unit': 'hours', 'reaction_time_hours': '48', 'temperature': '160', 'temperature_unit': 'C', 'successful': '1'}, 'MOF4': {'name': 'Ni-BTCTMA', 'metal_node': 'Nickel Nitrate Hexahydrate', 'metal': 'Nickel', 'linker': '1,3,5-benzene tricarboxylate', 'solvents': ['N,N-Dimethylformamide', 'Water'], 'reaction_time': '48', 'reaction_time_unit': 'hours', 'reaction_time_hours': '48', 'temperature': '160', 'temperature_unit': 'C', 'successful': '1'}, 'MOF5': {'name': 'Ni-BTCPyr', 'metal_node': 'Nickel Nitrate Hexahydrate', 'metal': 'Nickel', 'linker': '1,3,5-benzene tricarboxylate', 'solvents': ['N,N-Dimethylformamide', 'Water'], 'reaction_time': '48', 'reaction_time_unit': 'hours', 'reaction_time_hours': '48', 'temperature': '160', 'temperature_unit': 'C', 'successful': '1'}, 'MOF6': {'name': 'Ni-BTCAnl', 'metal_node': 'Nickel Nitrate Hexahydrate', 'metal': 'Nickel', 'linker': '1,3,5-benzene tricarboxylate', 'solvents': ['N,N-Dimethylformamide', 'Water'], 'reaction_time': '48', 'reaction_time_unit': 'hours', 'reaction_time_hours': '48', 'temperature': '160', 'temperature_unit': 'C', 'successful': '1'}, 'MOF7': {'name': 'Ni-BTCNaOH', 'metal_node': 'Nickel Nitrate Hexahydrate', 'metal': 'Nickel', 'linker': '1,3,5-benzene tricarboxylate', 'solvents': ['N,N-Dimethylformamide', 'Water'], 'reaction_time': '48', 'reaction_time_unit': 'hours', 'reaction_time_hours': '48', 'temperature': '160', 'temperature_unit': 'C', 'successful': '1'}}",10.5935/0100-4042.20160068,optimization
7,10.1021/acssuschemeng.6b02115,"[27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37]",11,"{'MOF1': {'metal': 'Cu', 'linker': 'benzene-1,3,5-tricarboxylic acid', 'solvents': ['DMF', 'ethanol', 'water'], 'reaction_time_hours': 16.0, 'temperature': 80.0, 'temperature_unit': 'C', 'successful': 1.0, 'salt': 'Cu(NO3)2·3H2O'}, 'MOF2': {'metal': 'Cu', 'linker': 'benzene-1,3,5-tricarboxylic acid', 'solvents': ['Cyrene', 'ethanol'], 'reaction_time_hours': 16.0, 'temperature': 80.0, 'temperature_unit': 'C', 'successful': 1.0, 'salt': 'Cu(NO3)2·3H2O'}, 'MOF3': {'metal': 'Cu', 'linker': 'benzene-1,3,5-tricarboxylic acid', 'solvents': ['Cyrene', 'ethanol'], 'reaction_time_hours': 16.0, 'temperature': 80.0, 'temperature_unit': 'C', 'successful': 1.0, 'salt': 'Cu(NO3)2·3H2O'}, 'MOF4': {'metal': 'Cu', 'linker': 'benzene-1,3,5-tricarboxylic acid', 'solvents': ['Cyrene', 'ethanol', 'water'], 'reaction_time_hours': 16.0, 'temperature': 80.0, 'temperature_unit': 'C', 'successful': 0.9, 'salt': 'Cu(NO3)2·3H2O'}, 'MOF5': {'metal': 'Cu', 'linker': 'benzene-1,3,5-tricarboxylic acid', 'solvents': ['Cyrene', 'ethanol', 'water'], 'reaction_time_hours': 16.0, 'temperature': 80.0, 'temperature_unit': 'C', 'successful': 0.9, 'salt': 'Cu(NO3)2·3H2O'}, 'MOF6': {'metal': 'Cu', 'linker': 'benzene-1,3,5-tricarboxylic acid', 'solvents': ['Cyrene', 'ethanol'], 'reaction_time_hours': 16.0, 'temperature': 80.0, 'temperature_unit': 'C', 'successful': 0.8, 'salt': 'Cu(NO3)2·3H2O'}, 'MOF7': {'metal': 'Cu', 'linker': 'benzene-1,3,5-tricarboxylic acid', 'solvents': ['DMSO', 'ethanol'], 'reaction_time_hours': 16.0, 'temperature': 80.0, 'temperature_unit': 'C', 'successful': 0.0, 'salt': 'Cu(NO3)2·3H2O'}, 'MOF8': {'metal': 'Cu', 'linker': 'benzene-1,3,5-tricarboxylic acid', 'solvents': ['ethanol'], 'reaction_time_hours': 16.0, 'temperature': 80.0, 'temperature_unit': 'C', 'successful': 1.0, 'salt': 'Cu(NO3)2·3H2O'}, 'MOF9': {'metal': 'Cu', 'linker': 'benzene-1,3,5-tricarboxylic acid', 'solvents': ['water'], 'reaction_time_hours': 16.0, 'temperature': 80.0, 'temperature_unit': 'C', 'successful': 0.9, 'salt': 'Cu(NO3)2·3H2O'}, 'MOF10': {'metal': 'Cu', 'linker': 'benzene-1,3,5-tricarboxylic acid', 'solvents': ['water', 'ethanol'], 'reaction_time_hours': 16.0, 'temperature': 80.0, 'temperature_unit': 'C', 'successful': 0.9, 'salt': 'Cu(NO3)2·3H2O'}, 'MOF11': {'metal': 'Zr', 'linker': 'benzene-1,4-dicarboxylic acid', 'solvents': ['Cyrene', 'water', 'DMF'], 'reaction_time_hours': 12.0, 'temperature': 80.0, 'temperature_unit': 'C', 'successful': 1.0, 'salt': 'ZrOCl2·8H2O'}}",11,"{'HKUST-1': {'name': 'HKUST-1', 'metal_node': 'Copper', 'metal': 'Cu', 'linker': 'Trimesic acid', 'solvents': ['Cyrene', 'Ethanol', 'Water'], 'reaction_time': 'overnight', 'reaction_time_unit': 'hours', 'reaction_time_hours': '12', 'temperature': '80', 'temperature_unit': 'C', 'successful': '1'}, 'UiO-66': {'name': 'UiO-66', 'metal_node': 'Zirconium(IV) oxychloride octahydrate', 'metal': 'Zr', 'linker': 'Terephthalic acid', 'solvents': ['Cyrene', 'DMF', 'Acetic acid', 'Water'], 'reaction_time': '12', 'reaction_time_unit': 'hours', 'reaction_time_hours': '12', 'temperature': '80', 'temperature_unit': 'C', 'successful': '1'}, 'ZIF-8': {'name': 'ZIF-8', 'metal_node': 'Zinc(II) nitrate hexahydrate', 'metal': 'Zn', 'linker': '2-methylimidazole', 'solvents': ['Cyrene', 'DMF', 'Methanol'], 'reaction_time': '10', 'reaction_time_unit': 'hours', 'reaction_time_hours': '10', 'temperature': '110', 'temperature_unit': 'C', 'successful': '1'}, 'Co-MOF-74': {'name': 'Co-MOF-74', 'metal_node': 'Cobalt(II) nitrate hexahydrate', 'metal': 'Co', 'linker': '2,5-dihydroxyterephthalic acid', 'solvents': ['Cyrene', 'Ethanol'], 'reaction_time': 'overnight', 'reaction_time_unit': 'hours', 'reaction_time_hours': '12', 'temperature': '100', 'temperature_unit': 'C', 'successful': '1'}, 'Zn2(BDC)2(DABCO)': {'name': 'Zn2(BDC)2(DABCO)', 'metal_node': 'Zinc(II) nitrate hexahydrate', 'metal': 'Zn', 'linker': 'Terephthalic acid and DABCO', 'solvents': ['Cyrene'], 'reaction_time': '12', 'reaction_time_unit': 'hours', 'reaction_time_hours': '12', 'temperature': '100', 'temperature_unit': 'C', 'successful': '1'}}",10.1021/acssuschemeng.6b02115,optimization
8,10.1016/j.ccr.2020.213407,"[38, 39]",2,"{'MOF1': {'metal': 'Zn', 'linker': '2-methylimidazole', 'solvents': ['Cyrene'], 'reaction_time_hours': 10.0, 'temperature': 110.0, 'temperature_unit': 'C', 'successful': 1.0, 'salt': 'Zn(NO3)2·6H2O'}, 'MOF2': {'metal': 'Co', 'linker': '2,5-dihydroxyterephthalic acid', 'solvents': ['Cyrene', 'ethanol'], 'reaction_time_hours': 16.0, 'temperature': 100.0, 'temperature_unit': 'C', 'successful': 1.0, 'salt': 'Co(NO3)2·6H2O'}}",2,{},10.1016/j.ccr.2020.213407,review
9,10.1039/c8cy00579f,"[40, 41, 42]",3,"{'MOF1': {'metal': 'Cu', 'linker': '5-azidoisophthalic acid', 'solvents': ['DMA'], 'reaction_time_hours': 504.0, 'temperature': 25.0, 'temperature_unit': 'C', 'successful': 1.0, 'salt': 'Cu(NO3)2·3H2O'}, 'MOF2': {'metal': 'Cu', 'linker': '5-azidoisophthalic acid', 'solvents': ['DMA'], 'reaction_time_hours': 24.0, 'temperature': 85.0, 'temperature_unit': 'C', 'successful': 1.0, 'salt': 'Cu(NO3)2·3H2O'}, 'MOF3': {'metal': 'Cu', 'linker': '5-azidoisophthalic acid', 'solvents': ['DMF'], 'reaction_time_hours': 24.0, 'temperature': 85.0, 'temperature_unit': 'C', 'successful': 0.0, 'salt': 'Cu(NO3)2·3H2O'}}",3,"{'MOF1': {'name': 'Cu(II)-5-azidoisophthalate MOF', 'metal_node': 'Copper(II)', 'metal': 'Cu', 'linker': '5-azidoisophthalic acid', 'solvents': [""N,N'-dimethylacetamide""], 'reaction_time': '3 weeks', 'reaction_time_unit': 'weeks', 'reaction_time_hours': '504', 'temperature': '25', 'temperature_unit': 'C', 'successful': '1'}, 'MOF2': {'name': 'Cu(II)-5-azidoisophthalate MOF', 'metal_node': 'Copper(II)', 'metal': 'Cu', 'linker': '5-azidoisophthalic acid', 'solvents': [""N,N'-dimethylacetamide""], 'reaction_time': '24', 'reaction_time_unit': 'h', 'reaction_time_hours': '24', 'temperature': '85', 'temperature_unit': 'C', 'successful': '1'}}",10.1039/c8cy00579f,optimization
