ligand name,T [°C],t [h],solvent1,V/V solvent1 [ ],solvent2,V/V solvent2 [ ],solvent3,V/V solvent3 [ ],inorganic salt,metal,additional,reported,outcome,score,,CCDC,Isostructural,Enantiomeric,Source,,Category
"(1R,3S)-1,2,2-trimethyl-3-(pyridin-4-ylcarbamoyl)cyclopentanecarboxylic acid",100,48,methanol,0.86,water,0.14,NA,0,Zn(NO3)2·6H2O,Zn,NA,10.1039/c2jm15604k,successful,1.00,,FECZEU,identical,identical,linked,,chiralty
"(1R, 3S)-1,2,2-trimethyl-3-(pyridin-3-ylmethylcarbamoyl)cyclopentanecarboxylic acid",100,30,water,1,NA,0,NA,0,CdSO4·8/3H2O,Cd,NaOH,10.1016/j.inoche.2007.01.001,successful,1.00,,CIBREL,identical,identical,linked,,chiralty
"1,2,2-trimethyl-3-(pyridin-4-ylcarbamoyl)cyclopentanecarboxylic acid",120,48,DMF,0.5,water,0.25,ethanol,0.25,Zn(NO3)2·6H2O,Zn,NA,10.1021/cg101135r,successful,1.00,,INEFEN,identical,identical,linked,,chiralty
"1,2,2-trimethyl-3-(pyridin-4-ylcarbamoyl)cyclopentanecarboxylic acid",120,48,DMF,0.54,water,0.23,ethanol,0.23,Cd(NO3)2·4H2O,Cd,NA,10.1021/cg101135r,successful,1.00,,INEFIR,identical,identical,linked,,chiralty
"(1R,3S)-1,2,2-trimethylcyclopentane-1,3-dicarboxylic acid",100,48,DMF,0.65,ethanol,0.35,NA,0,Mn(NO3)2·6H2O,Mn,NA,10.1021/ic502861k,successful,1.00,,UHOGEF,identical,identical,linked,,chiralty
"benzene-1,4-dicarboxylic acid",110,48,DEF,1,NA,0,NA,0,Zn(NO3)2·6H2O,Zn,NA,10.1016/j.micromeso.2008.06.040,successful,1.00,,SAHYOQ,identical,identical,matched,,optimization
"benzene-1,4-dicarboxylic acid",110,48,DEF,0.6,mesitylene,0.4,NA,0,Zn(NO3)2·6H2O,Zn,NA,10.1016/j.micromeso.2008.06.040,successful,1.00,,SAHYOQ,identical,identical,matched,,optimization
"benzene-1,4-dicarboxylic acid",110,48,DEF,0.5,mesitylene,0.5,NA,0,Zn(NO3)2·6H2O,Zn,NA,10.1016/j.micromeso.2008.06.040,byproduct,0.30,,SAHYOQ,identical,identical,matched,,optimization
"benzene-1,4-dicarboxylic acid",110,48,DEF,0.4,mesitylene,0.6,NA,0,Zn(NO3)2·6H2O,Zn,NA,10.1016/j.micromeso.2008.06.040,failed,0.00,,SAHYOQ,identical,identical,matched,,optimization
"benzene-1,4-dicarboxylic acid",110,48,DEF,0.2,mesitylene,0.8,NA,0,Zn(NO3)2·6H2O,Zn,NA,10.1016/j.micromeso.2008.06.040,failed,0.00,,SAHYOQ,identical,identical,matched,,optimization
"benzene-1,4-dicarboxylic acid",110,48,DEF,0.5,toluene,0.5,NA,0,Zn(NO3)2·6H2O,Zn,NA,10.1016/j.micromeso.2008.06.040,failed,0.00,,SAHYOQ,identical,identical,matched,,optimization
"benzene-1,4-dicarboxylic acid",110,48,DEF,0.5,chlorobenzene,0.5,NA,0,Zn(NO3)2·6H2O,Zn,NA,10.1016/j.micromeso.2008.06.040,failed,0.00,,SAHYOQ,identical,identical,matched,,optimization
"benzene-1,4-dicarboxylic acid",110,48,DEF,1,NA,0,NA,0,ZnO,Zn,NA,10.1016/j.micromeso.2008.06.040,contaminated,0.40,,SAHYOQ,identical,identical,matched,,optimization
"benzene-1,4-dicarboxylic acid",110,48,DEF,0.6,mesitylene,0.4,NA,0,ZnO,Zn,NA,10.1016/j.micromeso.2008.06.040,contaminated,0.40,,SAHYOQ,identical,identical,matched,,optimization
"benzene-1,4-dicarboxylic acid",110,48,DEF,0.5,mesitylene,0.5,NA,0,ZnO,Zn,NA,10.1016/j.micromeso.2008.06.040,contaminated,0.40,,SAHYOQ,identical,identical,matched,,optimization
"benzene-1,4-dicarboxylic acid",110,48,DEF,0.4,mesitylene,0.6,NA,0,ZnO,Zn,NA,10.1016/j.micromeso.2008.06.040,contaminated,0.40,,SAHYOQ,identical,identical,matched,,optimization
"benzene-1,4-dicarboxylic acid",110,48,DEF,0.2,mesitylene,0.8,NA,0,ZnO,Zn,NA,10.1016/j.micromeso.2008.06.040,byproduct,0.30,,SAHYOQ,identical,identical,matched,,optimization
"benzene-1,4-dicarboxylic acid",110,48,DEF,0.5,toluene,0.5,NA,0,ZnO,Zn,NA,10.1016/j.micromeso.2008.06.040,contaminated,0.40,,SAHYOQ,identical,identical,matched,,optimization
"benzene-1,4-dicarboxylic acid",110,48,DEF,0.5,chlorobenzene,0.5,NA,0,ZnO,Zn,NA,10.1016/j.micromeso.2008.06.040,contaminated,0.40,,SAHYOQ,identical,identical,matched,,optimization
(2E)-but-2-enedioic acid,100,24,DMF,1,NA,0,NA,0,FeCl3·6H2O,Fe,NA,10.1039/c0jm03563g,successful,1.00,,FAVKAP,identical,identical,matched,,optimization
(2E)-but-2-enedioic acid,100,24,water,1,NA,0,NA,0,FeCl3·6H2O,Fe,NA,10.1039/c0jm03563g,successful,1.00,,FAVKAP,identical,identical,matched,,optimization
(2E)-but-2-enedioic acid,100,24,methanol,1,NA,0,NA,0,FeCl3·6H2O,Fe,NA,10.1039/c0jm03563g,failed,0.00,,FAVKAP,identical,identical,matched,,optimization
(2E)-but-2-enedioic acid,100,24,DMF,1,NA,0,NA,0,FeCl3·6H2O,Fe,NaOH,10.1039/c0jm03563g,successful,1.00,,FAVKAP,identical,identical,matched,,optimization
(2E)-but-2-enedioic acid,100,24,water,1,NA,0,NA,0,FeCl3·6H2O,Fe,NaOH,10.1039/c0jm03563g,contaminated,0.40,,FAVKAP,identical,identical,matched,,optimization
(2E)-but-2-enedioic acid,100,24,methanol,1,NA,0,NA,0,FeCl3·6H2O,Fe,NaOH,10.1039/c0jm03563g,contaminated,0.40,,FAVKAP,identical,identical,matched,,optimization
"benzene-1,3,5-tricarboxylic acid",160,48,DMF,0.5,water,0.5,NA,0,Ni(NO3)2·6H2O,Ni,NA,10.5935/0100-4042.20160068,poor,0.80,,missing,NA,NA,NA,,optimization
"benzene-1,3,5-tricarboxylic acid",160,48,ethanol,0.5,water,0.5,NA,0,Ni(NO3)2·6H2O,Ni,NA,10.5935/0100-4042.20160068,successful,1.00,,missing,NA,NA,NA,,optimization
"benzene-1,3,5-tricarboxylic acid",80,16,DMF,0.33,ethanol,0.32,water,0.35,Cu(NO3)2·3H2O,Cu,NA,10.1021/acssuschemeng.6b02115,successful,1.00,,FIQCEN,identical,identical,matched,,optimization
"benzene-1,3,5-tricarboxylic acid",80,16,Cyrene,0.83,ethanol,0.17,NA,NA,Cu(NO3)2·3H2O,Cu,NA,10.1021/acssuschemeng.6b02115,successful,1.00,,FIQCEN,identical,identical,matched,,optimization
"benzene-1,3,5-tricarboxylic acid",80,16,Cyrene,0.5,ethanol,0.5,NA,NA,Cu(NO3)2·3H2O,Cu,NA,10.1021/acssuschemeng.6b02115,successful,1.00,,FIQCEN,identical,identical,matched,,optimization
"benzene-1,3,5-tricarboxylic acid",80,16,Cyrene,0.33,ethanol,0.32,water,0.35,Cu(NO3)2·3H2O,Cu,NA,10.1021/acssuschemeng.6b02115,poor BET,0.90,,FIQCEN,identical,identical,matched,,optimization
"benzene-1,3,5-tricarboxylic acid",80,16,Cyrene,0.5,ethanol,0.475,water,0.03,Cu(NO3)2·3H2O,Cu,NA,10.1021/acssuschemeng.6b02115,poor BET,0.90,,FIQCEN,identical,identical,matched,,optimization
